Port;Transport;Protocol;
559;TCP, UDP;TEEDTAP.;
560;TCP, UDP;rmonitord.;
561;TCP, UDP;monitor.;
562;TCP, UDP;chcmd.;
563;TCP;NNTP over TLS.;
564;TCP, UDP;plan 9 file service.;
565;TCP, UDP;whoami.;
566;TCP, UDP;streettalk.;
567;TCP, UDP;banyan-rpc.;
568;TCP, UDP;microsoft shuttle.;
569;TCP, UDP;microsoft rome.;
570;TCP, UDP;demon.;
571;TCP, UDP;udemon.;
572;TCP, UDP;sonar.;
573;TCP, UDP;banyan-vip.;
574;TCP, UDP;FTP Software Agent System.;
575;TCP;VEMMI, VErsatile MultiMedia Interface.;
576;TCP, UDP;ipcd.;
577;TCP, UDP;vnas.;
578;TCP, UDP;ipdd.;
579;TCP, UDP;decbsrv.;
580;TCP, UDP;SNTP HEARTBEAT.;
581;UDP;Bundle Discovery Protocol.;
582;TCP, UDP;SCC Security.;
583;TCP, UDP;Philips Video-Conferencing.;
584;TCP, UDP;Key Server.;
586;TCP, UDP;Password Change.;
587;TCP;ESMTP, Extended Simple Mail Transfer Protocol.;
588;TCP, UDP;CAL.;
589;TCP, UDP;EyeLink.;
590;TCP, UDP;TNS CML.;
591;TCP, UDP;FileMaker Inc. - HTTP Alternate (see Port 80).;
592;TCP, UDP;Eudora Set.;
593;TCP, UDP;HTTP RPC Ep Map.;
594;TCP, UDP;TPIP.;
595;TCP, UDP;CAB Protocol.;
596;TCP, UDP;SMSD.;
597;TCP, UDP;PTC Name Service.;
598;TCP, UDP;SCO Web Server Manager 3.;
599;TCP, UDP;Aeolon Core Protocol.;
600;TCP, UDP;Sun IPC server.;
601;TCP;Syslog.;
602;TCP, UDP;XML-RPC over  BEEP.;
603;TCP;IDXP, Intrusion Detection Exchange Protocol.;
604;TCP;TUNNEL.;
605;TCP;SOAP over  BEEP.;
606;TCP, UDP;Cray Unified Resource Manager.;
607;TCP, UDP;nqs.;
608;TCP;SIFT/UFT, Sender-Initiated/Unsolicited File Transfer.;
609;TCP, UDP;npmp-trap.;
610;TCP, UDP;npmp-local.;
611;TCP, UDP;npmp-gui.;
612;TCP, UDP;HMMP Indication.;
613;TCP, UDP;HMMP Operation.;
614;TCP, UDP;SSLshell.;
615;TCP, UDP;Internet Configuration Manager.;
616;TCP, UDP;SCO System Administration Server.;
617;TCP, UDP;SCO Desktop Administration Server.;
618;TCP, UDP;DEI-ICDA.;
619;TCP, UDP;Digital EVM.;
620;TCP, UDP;SCO WebServer Manager.;
621;TCP, UDP;ESCP.;
622;TCP, UDP;Collaborator.;
623;TCP, UDP;DMTF out-of-band web services management protocol.;
624;TCP, UDP;Crypto Admin.;
625;TCP, UDP;DEC DLM.;
626;TCP, UDP;ASIA.;
627;TCP, UDP;CKS & TIVIOLI.;
628;TCP, UDP;QMQP.;
629;TCP, UDP;3Com AMP3.;
630;TCP, UDP;RDA.;
631;TCP;IPP, Internet Printing Protocol.;
632;TCP, UDP;bmpp.;
633;TCP, UDP;Service Status update (Sterling Software).;
634;TCP, UDP;ginad.;
635;TCP, UDP;RLZ DBase.;
636;TCP, UDP;ldap protocol over TLS/SSL (was sldap).;
637;TCP, UDP;lanserver.;
638;TCP, UDP;mcns-sec.;
639;TCP;MSDP, Multicast Source Discovery Protocol.;
640;TCP, UDP;entrust-sps.;
641;TCP, UDP;repcmd.;
642;UDP;EMSD over ESRO.;
643;TCP, UDP;SANity.;
644;TCP, UDP;dwr.;
645;TCP, UDP;PSSC.;
646;TCP,  UDP;LDP, Label Distribution Protocol.;
647;TCP;DHCP Failover Protocol.;
648;TCP;RRP, Registry Registrar Protocol.;
649;TCP, UDP;Aminet.;
650;TCP, UDP;OBEX.;
651;TCP, UDP;IEEE MMS.;
652;UDP;DTCP, Dynamic Tunnel Configuration Protocol.;
653;TCP, UDP;RepCmd.;
654;UDP;AODV, Ad hoc On-Demand Distance Vector.;
655;TCP, UDP;TINC.;
656;TCP, UDP;SPMP.;
657;TCP, UDP;RMC.;
658;TCP, UDP;TenFold.;
659;TCP, UDP;URL Rendezvous.;
660;TCP, UDP;MacOS Server Admin.;
661;TCP, UDP;HAP.;
662;TCP, UDP;PFTP.;
663;TCP, UDP;PureNoise.;
664;TCP, UDP;DMTF out-of-band secure web services management protocol.;
665;TCP, UDP;Sun DR.;
666;TCP, UDP;Doom, Id Software.;
667;TCP, UDP;Campaign contribution campaign contribution disclosures - SDR Technologies.;
668;TCP, UDP;MeComm.;
669;TCP, UDP;MeRegister.;
670;TCP, UDP;VACDSM-SWS.;
671;TCP, UDP;VACDSM-APP.;
672;TCP, UDP;VPPS-QUA.;
673;TCP, UDP;CIMPLEX.;
674;TCP;ACAP, Application Configuration Access Protocol.;
675;TCP, UDP;DCTP.;
676;TCP, UDP;VPPS Via.;
677;TCP, UDP;Virtual Presence Protocol.;
678;TCP, UDP;GNU Gereration Foundation NCP.;
679;TCP, UDP;MRM.;
680;TCP, UDP;entrust-aaas.;
681;TCP, UDP;entrust-aaas.;
682;TCP, UDP;XFR.;
683;TCP, UDP;CORBA IIOP.;
684;TCP, UDP;CORBA IIOP SSL.;
685;TCP, UDP;MDC Port Mapper.;
686;TCP, UDP;Hardware Control Protocol Wismar.;
687;TCP, UDP;asipregistry.;
688;TCP, UDP;REALM-RUSD.;
689;TCP, UDP;NMAP.;
690;TCP, UDP;VATP.;
691;TCP, UDP;MS Exchange Routing.;
692;TCP, UDP;Hyperwave-ISP.;
693;TCP, UDP;connendp.;
694;TCP, UDP;ha-cluster.;
695;TCP, UDP;IEEE-MMS-SSL.;
696;TCP, UDP;RUSHD.;
697;TCP, UDP;UUIDGEN.;
698;UDP;OLSR, Optimized Link State Routing.;
699;TCP, UDP;Access Network.;
700;TCP;EPP, Extensible Provisioning Protocol.;
701;UDP;LMP, Link Management Protocol.;
702;TCP;IRIS over  BEEP.;
704;TCP, UDP;errlog copy/server daemon.;
705;TCP;AgentX.;
706;TCP, UDP;SILC, Secure Internet Live Conferencing.;
707;TCP, UDP;Borland DSJ.;
709;TCP, UDP;Entrust Key Management Service Handler.;
710;TCP, UDP;Entrust Administration Service Handler.;
711;TCP, UDP;TDP, Tag Distribution Protocol.;
712;UDP;TBRPF, Topology Broadcast based on Reverse-Path Forwarding.;
713;TCP;IRIS over XPC.;
714;TCP;IRIS over XPCS (RFC 4992).;
715;TCP, UDP;IRIS-LWZ (RFC 4993).;
716;TCP, UDP;PANA, Protocol for Carrying Authentication for Network Access.;
720;TCP, UDP;DVMP/SMQP, Distance Vectored Monitoring Protocol.;
721;TCP, UDP;XSRP, eXtensible Service Registration Protocol.;
723;TCP, UDP;XSTP, eXtensible Service Transfer Protocol.;
725;TCP, UDP;XSSP, eXtensible Service Subscription Protocol.;
727;TCP, UDP;XSLP, eXtensible Service Location Protocol.;
729;TCP, UDP;IBM NetView DM/6000 Server/Client.;
730;TCP, UDP;IBM NetView DM/6000 send TCP.;
731;TCP, UDP;IBM NetView DM/6000 receive TCP.;
741;TCP, UDP;netGW.;
742;TCP, UDP;Network based Rev. Cont. Sys.;
744;TCP, UDP;Flexible License Manager.;
747;TCP, UDP;Fujitsu Device Control.;
748;TCP, UDP;Russell Info Sci Calendar Manager.;
749;TCP, UDP;kerberos administration.;
750;TCP, UDP;kerberos version iv.;
751;TCP, UDP;pump.;
752;TCP, UDP;qrh.;
753;TCP, UDP;rrh.;
754;TCP, UDP;send;
758;TCP, UDP;nlogin.;
759;TCP, UDP;con.;
760;TCP, UDP;ns.;
761;TCP, UDP;rxe.;
762;TCP, UDP;quotad.;
763;TCP, UDP;cycleserv.;
764;TCP, UDP;omserv.;
765;TCP, UDP;webster.;
767;TCP, UDP;phone.;
769;TCP, UDP;vid.;
770;TCP, UDP;cadlock.;
771;TCP, UDP;rtip.;
772;TCP, UDP;cycleserv2.;
773;TCP, UDP;submit.;
774;TCP, UDP;rpasswd, acmaint_dbd.;
